frame,gt_has,pred_has,iou,center_dist_px,yolo_has,reinit,yolo_ms,yolo_fps,trk_ms,trk_fps,total_ms,total_fps
0,1,1,0.757848,1.41421,1,1,3808.98,0.262537,0.241889,4134.13,3809.23,0.26252
1,1,1,0.507692,3.60555,0,0,0,0,0.63157,1583.36,0.639657,1563.34
2,1,1,0.507692,3.60555,0,0,0,0,1.12225,891.065,1.13461,881.362
3,1,1,0.481752,4.03113,0,0,0,0,0.944732,1058.5,0.954541,1047.62
4,1,1,0.481752,4.03113,0,0,0,0,0.897131,1114.66,0.905636,1104.2
5,1,1,0.41958,4.92443,0,0,0,0,1.12898,885.757,1.14164,875.936
6,1,1,0.471014,4.60977,0,0,0,0,0.843545,1185.47,0.851608,1174.25
7,1,1,0.41958,4.92443,0,0,0,0,0.698629,1431.37,0.705449,1417.54
8,1,1,0.456747,4.30116,0,0,0,0,0.687278,1455.02,0.69479,1439.28
9,1,1,0.514388,3.80789,0,0,0,0,0.693007,1442.99,0.708947,1410.54
10,1,0,-1,-1,0,0,0,0,0.291441,3431.23,0.296611,3371.42
11,1,1,0.694444,0.707107,1,1,31.4754,31.7709,0.136323,7335.52,31.6243,31.6213
12,1,1,0.619469,2.91548,0,0,0,0,0.613573,1629.8,0.619896,1613.17
13,1,1,0.619469,2.91548,0,0,0,0,0.982899,1017.4,0.989519,1010.59
14,1,1,0.663717,2.5,0,0,0,0,1.11056,900.448,1.12552,888.476
15,1,1,0.66482,0.5,1,1,31.1758,32.0762,0.123118,8122.29,31.3232,31.9252
16,1,1,0.598404,2.69258,0,0,0,0,0.654522,1527.83,0.660266,1514.54
17,1,1,0.598404,2.69258,0,0,0,0,0.980645,1019.74,0.986862,1013.31
18,1,1,0.66482,1.80278,0,0,0,0,0.970037,1030.89,0.975979,1024.61
19,1,1,0.66482,1.80278,0,0,0,0,1.30112,768.567,1.30783,764.627
20,1,1,0.709141,1.58114,0,0,0,0,1.68136,594.758,1.6914,591.225
21,1,1,0.709141,1.58114,0,0,0,0,1.35592,737.507,1.36617,731.971
22,1,1,0.636605,2.54951,0,0,0,0,1.31344,761.362,1.32314,755.776
23,1,1,0.636605,2.54951,0,0,0,0,1.223,817.661,1.22997,813.029
24,1,1,0.719577,2.23607,0,0,0,0,1.30492,766.332,1.31235,761.993
25,1,1,0.64557,3,0,0,0,0,1.2764,783.453,1.28427,778.654
26,1,1,0.64557,3.16228,0,0,0,0,1.29449,772.507,1.30276,767.601
27,1,1,0.719577,2.23607,0,0,0,0,1.27316,785.447,1.28039,781.014
28,1,1,0.719577,2,0,0,0,0,0.939423,1064.48,0.945499,1057.64
29,1,1,0.674603,2.5,0,0,0,0,1.32649,753.868,1.33543,748.824
30,1,1,0.68,0.5,1,1,28.8545,34.6567,0.114065,8766.93,28.995,34.4887
31,1,1,0.652278,2.91548,0,0,0,0,0.750299,1332.8,0.756725,1321.48
32,1,1,0.534521,4.30116,0,0,0,0,1.26274,791.927,1.27003,787.38
33,1,1,0.56541,4.03113,0,0,0,0,1.26416,791.038,1.27196,786.187
34,1,1,0.508547,4.92443,0,0,0,0,1.35832,736.202,1.36695,731.556
35,1,1,0.508547,4.92443,0,0,0,0,1.29931,769.636,1.30812,764.456
36,1,1,0.508547,4.92443,0,0,0,0,1.31801,758.719,1.32691,753.629
37,1,1,0.45567,5.85235,0,0,0,0,1.15729,864.089,1.16476,858.547
38,1,1,0.45567,5.85235,0,0,0,0,1.25303,798.064,1.26779,788.774
39,1,1,0.439364,6.32456,0,0,0,0,1.06358,940.223,1.07099,933.713
40,1,1,0.533898,5.09902,0,0,0,0,0.965695,1035.52,0.97162,1029.21
41,1,1,0.54371,4.47214,0,0,0,0,1.00496,995.068,1.012,988.142
42,1,1,0.56541,4.272,0,0,0,0,0.949543,1053.14,0.956013,1046.01
43,1,1,0.518519,4.47214,0,0,0,0,1.00721,992.84,1.02517,975.446
44,1,0,-1,-1,0,0,0,0,0.444208,2251.2,0.449298,2225.69
45,1,0,-1,-1,0,0,26.8253,37.2782,0,0,26.8328,37.2678
46,0,0,-1,-1,0,0,29.271,34.1635,0,0,29.2785,34.1548
47,0,0,-1,-1,0,0,29.379,34.0379,0,0,29.3853,34.0306
48,0,0,-1,-1,0,0,29.5103,33.8864,0,0,29.517,33.8788
49,0,0,-1,-1,0,0,26.8249,37.2788,0,0,26.8304,37.2712
50,0,0,-1,-1,0,0,28.8416,34.6721,0,0,28.8478,34.6647
51,0,0,-1,-1,0,0,28.3321,35.2956,0,0,28.3448,35.2798
52,0,0,-1,-1,0,0,26.6631,37.505,0,0,26.6684,37.4976
53,0,0,-1,-1,0,0,31.0797,32.1753,0,0,31.0901,32.1645
54,0,0,-1,-1,0,0,29.5212,33.8739,0,0,29.5288,33.8652
